,user,text,favorite_count,retweet_count,created_at
80,elonmusk,@eigenrobot One of my favorite conspiracy theories is that the world is actually 80% men,2742,134,2022-10-21 17:01:53+00:00
81,elonmusk,@ChessProblem un ass ailable logic!,2801,129,2022-10-21 13:22:33+00:00
82,elonmusk,@teslaownersSV Yes,4897,184,2022-10-21 07:25:23+00:00
83,elonmusk,@LifeboatHQ https://t.co/j4ZHlazoPa,1304,90,2022-10-21 06:42:17+00:00
84,elonmusk,"@LifeboatHQ You’re right. Eventually, we all run out of time. https://t.co/GyXk9uZLIW",2144,120,2022-10-21 06:39:47+00:00
85,elonmusk,"Only Giga Berlin can make these colors, as paint shop was specially built to apply many fine layers of paint, giving it complexity not otherwise possible https://t.co/Htis0LfRzV",42375,2916,2022-10-21 06:34:33+00:00
86,elonmusk,"@teslaownersSV @BillyM2k Varies a lot. Tesla &amp; SpaceX are in good positions, but many other companies are not. 

Recessions do have a silver lining in that companies that shouldn’t exist stop existing.",3630,338,2022-10-21 06:11:05+00:00
87,elonmusk,"@RenataKonkoly @ThorstenBasch @spideycyp_155 @BillyM2k Those who want Putin removed are laboring under the misapprehension that whoever replaces him will be more amenable to peace or western philosophy, but I think this is unlikely – the Kremlin is not the Nice Guy Olympics",5414,510,2022-10-21 05:54:23+00:00
88,elonmusk,"@ThorstenBasch @spideycyp_155 @BillyM2k Russia overrunning Ukraine would destabilize the entire region, perhaps the world",1485,102,2022-10-21 05:45:12+00:00
89,elonmusk,"@spideycyp_155 @BillyM2k If Russia faced calamitous defeat in conventional warfare for something as strategically critical as Crimea, the probability of using nuclear weapons is high",1464,123,2022-10-21 05:12:37+00:00
90,elonmusk,@jamesplloyd @SpaceX I do. Yes.,2034,79,2022-10-21 05:09:52+00:00
91,elonmusk,"@spideycyp_155 @BillyM2k Still very unlikely, but this is the closest we’ve been since Cuba in ‘62",1583,102,2022-10-21 05:06:29+00:00
92,elonmusk,"@teslaownersSV @BillyM2k Just guessing, but probably until spring of ‘24",5054,561,2022-10-21 04:53:50+00:00
93,elonmusk,@BillyM2k It sure would be nice to have one year without a horrible global event,50079,3156,2022-10-21 04:51:37+00:00
94,elonmusk,@AndrewPerpetua “Brutal for both sides” will be a common phrase in the months to come,1561,92,2022-10-21 04:42:02+00:00
95,elonmusk,https://t.co/WqGm6InNTp,230840,24151,2022-10-21 03:31:20+00:00
96,elonmusk,@bgarlinghouse No way,20200,2843,2022-10-21 02:57:24+00:00
97,elonmusk,@SamitoFPS Maybe,3130,154,2022-10-21 02:00:08+00:00
98,elonmusk,@NewsfromScience Certainly warrants closer scrutiny,16249,1305,2022-10-21 01:50:54+00:00
99,elonmusk,@NikLentz @JenniferJJacobs @SalehaMohsin @BloombergTV 💯🤣,3936,241,2022-10-21 01:11:17+00:00
100,elonmusk,"@MedvedevRussiaE @trussliz Btw, how’s it going in Bakhmut?",15344,751,2022-10-20 21:20:40+00:00
101,elonmusk,@MedvedevRussiaE @trussliz Pretty good troll tbh,39186,1348,2022-10-20 21:12:17+00:00
102,elonmusk,@Alan_McGuinness *humour,4778,126,2022-10-20 21:07:30+00:00
103,elonmusk,@ilyasut I couldn’t agree more 😜,2422,101,2022-10-20 20:37:33+00:00
104,elonmusk,@Alan_McGuinness British humor is the best,58480,1981,2022-10-20 20:36:51+00:00
105,elonmusk,@PPathole @EvaFoxU @DavidSacks Compromise is overwhelmingly the most likely outcome – just a question of how much death &amp; destruction happens before then,4647,385,2022-10-20 17:42:06+00:00
106,elonmusk,@gaborgurbacs @EvaFoxU @DavidSacks That should be the nature of the debate,1397,71,2022-10-20 17:39:15+00:00
107,elonmusk,"@EvaFoxU @DavidSacks Most probable outcome by far is a horrible war of attrition that destroys Ukraine &amp; severely damages Russia, with massive body count on both sides.

And, in the end, the same outcome. 

So why?",3210,266,2022-10-20 17:32:08+00:00
108,elonmusk,@DavidSacks Exactly,26368,1104,2022-10-20 16:43:40+00:00
109,elonmusk,Congrats to @SpaceX team on 48th launch this year! Falcon 9 now holds record for most launches of a single vehicle type in a year.,76208,5327,2022-10-20 16:31:46+00:00
110,elonmusk,@SpaceX 🎯,17075,670,2022-10-20 16:04:33+00:00
111,elonmusk,@romanhelmetguy 💪,8205,340,2022-10-20 11:22:35+00:00
112,elonmusk,@Neuro_Skeptic Same,6623,287,2022-10-20 09:26:29+00:00
113,elonmusk,@marenkahnert @jasondebolt Exactly,1965,79,2022-10-20 07:57:25+00:00
114,elonmusk,"@Teslarati @13ericralph31 SpaceX has more active satellites in orbit than rest of Earth combined, tracking to double rest of Earth soon",16600,1464,2022-10-20 07:30:52+00:00
115,elonmusk,"@jasondebolt The media reports with great fanfare my predictions that are late, but rarely those that come early",23662,1568,2022-10-20 06:52:01+00:00
116,elonmusk,@jakebrowatzke @andyjayhawk 🤣,1993,79,2022-10-20 06:38:51+00:00
117,elonmusk,@Teslarati @JohnnaCrider1 Accelerating sustainable energy is our primary mission,18538,1458,2022-10-20 00:10:14+00:00
118,elonmusk,"@westcoastbill Will require truly exceptional execution, but it is possible",11060,745,2022-10-19 22:33:20+00:00
119,elonmusk,"I will not let you down, no matter what it takes",393606,35246,2022-10-19 18:46:58+00:00
120,elonmusk,@DirtyTesLa Awesome,2384,88,2022-10-19 18:13:39+00:00
